id|record_type|cameo_title|compare_strings
58ce47e1fea250209c0a2611|Cameo.Phoenix.agents|JAIL_GUARD|jail+guard
58ce47e1fea250209c0a2612|Cameo.Phoenix.agents|LAWMAN|lawman
58ce47e1fea250209c0a2613|Cameo.Phoenix.agents|LAW_ENFORCEMENT|law+enforcement
58ce47e1fea250209c0a2614|Cameo.Phoenix.agents|LAW_ENFORCEMENT_AGENCY|law+enforcement+agency
58ce47e1fea250209c0a2615|Cameo.Phoenix.agents|LAW_ENFORCEMENT_AGENTS|law+enforcement+agents
58ce47e1fea250209c0a2616|Cameo.Phoenix.agents|LAW_ENFORCEMENT_AUTHORITY|law+enforcement+authority
58ce47e1fea250209c0a2617|Cameo.Phoenix.agents|LAW_ENFORCEMENT_OFFICER|law+enforcement+officer
58ce47e1fea250209c0a2618|Cameo.Phoenix.agents|LAW_ENFORCEMENT_OFFICIAL|law+enforcement+official
58ce47e1fea250209c0a2619|Cameo.Phoenix.agents|LOCAL_LAW_ENFORCEMENT|local+law+enforcement
58ce47e1fea250209c0a261a|Cameo.Phoenix.agents|NARCOTICS_OFFICER|narcotics+officer
58ce47e1fea250209c0a261b|Cameo.Phoenix.agents|NATIONAL_POLICE|national+police
58ce47e1fea250209c0a261c|Cameo.Phoenix.agents|NATIONAL_POLICE_CHIEF|national+police+chief
58ce47e1fea250209c0a261d|Cameo.Phoenix.agents|NATIONAL_SECURITY_FORCE|national+security+force
58ce47e1fea250209c0a261d|Cameo.Phoenix.agents|NATIONAL_SECURITY_FORCE|hackish
58ce47e1fea250209c0a261d|Cameo.Phoenix.agents|NATIONAL_SECURITY_FORCE|fix
58ce47e1fea250209c0a261d|Cameo.Phoenix.agents|NATIONAL_SECURITY_FORCE|for
58ce47e1fea250209c0a261d|Cameo.Phoenix.agents|NATIONAL_SECURITY_FORCE|ansf
58ce47e1fea250209c0a261e|Cameo.Phoenix.agents|POLICE|police
58ce47e1fea250209c0a261f|Cameo.Phoenix.agents|POLICE!PERSON!|police!person!
58ce47e1fea250209c0a2620|Cameo.Phoenix.agents|POLICE_CAPTAIN|police+captain
58ce47e1fea250209c0a2621|Cameo.Phoenix.agents|POLICE_CHIEF|police+chief
58ce47e1fea250209c0a2622|Cameo.Phoenix.agents|POLICE_COMMISSIONER|police+commissioner
58ce47e1fea250209c0a2623|Cameo.Phoenix.agents|POLICE_CONSTABLE|police+constable
58ce47e1fea250209c0a2624|Cameo.Phoenix.agents|POLICE_DEPUTY_COMMISSIONER|police+deputy+commissioner
58ce47e1fea250209c0a2625|Cameo.Phoenix.agents|POLICE_DISTRICT|police+district
58ce47e1fea250209c0a2626|Cameo.Phoenix.agents|POLICE_FORCE|police+force
58ce47e1fea250209c0a2627|Cameo.Phoenix.agents|POLICE_OFFICER|police+officer
58ce47e1fea250209c0a2628|Cameo.Phoenix.agents|POLICE_OFFICIAL|police+official
58ce47e1fea250209c0a2629|Cameo.Phoenix.agents|POLICE_PERSONNEL|police+personnel
58ce47e1fea250209c0a262a|Cameo.Phoenix.agents|POLICE_POST|police+post
