143,j0an+soriano,103,110,74,43,117,0
144,r0stem+pakaya,103.5384615,109,78,43,121,0
145,john+maples,101.4545455,108,72,43,115,0
146,gholamhosein+mohseni-ejeie,101.3461538,105,72,43,115,0
147,karin+carlsson,103.2142857,109,72,43,115,0
148,???????+????????,1019.8125,1082.5,1060,43,1103,0
149,vasil+sikhar0lidze,104.5,106,79,43,122,0
150,marie+b0rg0b0r0,104.2666667,109,74,43,117,0
151,g?rard-philippe+m?nayas,112.6086957,108,190,43,233,0
152,princess+haya,102.5384615,105,78,43,121,0
153,sergej+gontsjar,103.6666667,106,73,43,116,0
154,ann-magritt+a0stena,100.9473684,109,74,43,117,0
155,mike+bibby,98.5,103,78,43,121,0
156,tommy+skjerven,105.7857143,109.5,78,43,121,0
157,martin+sarasola,103.2,109,73,43,116,0
158,la+sociedad+planetaria,98.90909091,101,73,43,116,0
159,?????,28101.8,24503,16693,20811,37504,0
160,salischan+schakirowitsch+scharipow,103.5882353,105,76,43,119,0
161,alberto+garc≠a,109.6428571,102,194,43,237,0
162,khalil+al+obeidi,96.25,104.5,68,43,111,0
163,sabine+dobel,98.91666667,101,72,43,115,0
164,???+????+?????,1371.571429,1588,1567,43,1610,0
165,anette+sagen,100.8333333,102,73,43,116,0
166,paolo+de+andreis,98,103,72,43,115,0
167,c0rt+soederstroem,105.7058824,111,74,43,117,0
168,m0hammed+el+m0rsi,100.0588235,108,74,43,117,0
169,????+????,1418.222222,1585,1567,43,1610,0
170,???+????+???+???,884.625,1076,1043,43,1086,0
171,alexei+sayle,101.4166667,103,78,43,121,0
172,?????+???????,1002.615385,1080,1057,43,1100,0
173,??????+???????,1005.285714,1075.5,1046,43,1089,0
174,tomasz+nesterowicz,107,111,79,43,122,0
175,???????,12488.28571,12486,79,12452,12531,0
176,michael+tolsti0k,103.8125,107.5,74,43,117,0
177,????£??,23834.57143,24503,38280,183,38463,0
178,mykola+malom0zh,104.8666667,109,79,43,122,0
179,mark+gwyn,102.5555556,109,78,43,121,0
180,gino+flaminio,101.4615385,105,68,43,111,0
181,?????+???,967.2222222,1080,1060,43,1103,0
182,mark+taffet,100.3636364,102,73,43,116,0
183,glenn+adolfsson,102.9333333,108,72,43,115,0
184,diana+frances+spencer,99.28571429,101,72,43,115,0
185,ivaylo+petev,104.25,109.5,78,43,121,0
186,ekonomi+bakan?+zafer+ca?layan,112.0344828,105,262,43,305,0
187,szarvas+jõzsef,115,114.5,200,43,243,0
188,g0y+thys,105,115.5,78,43,121,0
189,yard?mc?lar?+be?ir+atalay,134.6,108,308,43,351,0
190,paddy+chayefsky,102.6666667,102,78,43,121,0
191,?????+?????????,1014.6,1083,1056,43,1099,0
192,paolo+leonardi,102,108,71,43,114,0
193,l0is+de+f0nes,98.23076923,105,74,43,117,0
194,daniela+zeiser,101.3571429,103,79,43,122,0
195,co0r+p?nale+internationale,107.2692308,109,190,43,233,0
196,?????+??????????+???,1790.3,1604,8161,43,8204,0
197,ahmed+walç,111.4,102.5,193,43,236,0
198,jacob+kohnstam,101.6428571,106.5,73,43,116,0
199,joerg+reckmann,101.7857143,106.5,71,43,114,0
200,????+????????,1003.076923,1080,1060,43,1103,0
201,jaroslav+so0k0p,105.8666667,111,75,43,118,0
202,l?onid+parfionov,111.875,110,190,43,233,0
203,il+codice+da+vinci+(romanzo),92.46428571,103,82,40,122,0
204,rob+fa0lkner,101.8333333,107.5,74,43,117,0
205,nicolas+todero,102.9285714,109,73,43,116,0
206,stephan+liechtsteiner,104.4285714,105,73,43,116,0
207,ilias+nicolacopo0los,104.35,108,74,43,117,0
208,l0igi+accatolli,101.4,105,74,43,117,0
209,???+???????,875.1818182,957,930,43,973,0
210,ronnie+whelan,102.5384615,108,76,43,119,0
211,ian+mcleod,98.3,103,68,43,111,0
